model,participant,accuracy,f1_score,auc_score
Random Forest,vp01,0.5,0.45054945054945056,0.6025
Random Forest,vp02,0.6097560975609756,0.6038647342995169,0.6053921568627451
Random Forest,vp03,0.625,0.6247654784240151,0.5987500000000001
Random Forest,vp04,0.475,0.474671669793621,0.41875
Random Forest,vp05,0.575,0.5248078266946191,0.5075000000000001
Logistic Regression,vp01,0.425,0.2982456140350877,0.28
Logistic Regression,vp02,0.6341463414634146,0.6341463414634146,0.7058823529411764
Logistic Regression,vp03,0.475,0.4666666666666667,0.48
Logistic Regression,vp04,0.525,0.5247029393370857,0.5449999999999999
Logistic Regression,vp05,0.475,0.4129979035639413,0.56
XGBoost,vp01,0.5,0.48849104859335035,0.5625
XGBoost,vp02,0.5609756097560976,0.49313186813186816,0.4681372549019608
XGBoost,vp03,0.425,0.41587301587301584,0.41750000000000004
XGBoost,vp04,0.55,0.5488721804511278,0.5375
XGBoost,vp05,0.575,0.5248078266946191,0.41500000000000004
