Cz_delta_power,Cz_theta_power,Cz_alpha_power,Cz_beta_power,Cz_gamma_power,FCz_delta_power,FCz_theta_power,FCz_alpha_power,FCz_beta_power,FCz_gamma_power,C3_delta_power,C3_theta_power,C3_alpha_power,C3_beta_power,C3_gamma_power,C4_delta_power,C4_theta_power,C4_alpha_power,C4_beta_power,C4_gamma_power,Fz_delta_power,Fz_theta_power,Fz_alpha_power,Fz_beta_power,Fz_gamma_power,Pz_delta_power,Pz_theta_power,Pz_alpha_power,Pz_beta_power,Pz_gamma_power,Cz_delta_alpha_ratio,Cz_gamma_beta_ratio,Cz_low_high_ratio,FCz_delta_alpha_ratio,FCz_gamma_beta_ratio,FCz_low_high_ratio,C3_delta_alpha_ratio,C3_gamma_beta_ratio,C3_low_high_ratio,C4_delta_alpha_ratio,C4_gamma_beta_ratio,C4_low_high_ratio,Fz_delta_alpha_ratio,Fz_gamma_beta_ratio,Fz_low_high_ratio,Pz_delta_alpha_ratio,Pz_gamma_beta_ratio,Pz_low_high_ratio,C4_C3_delta_asymmetry,C4_C3_theta_asymmetry,C4_C3_alpha_asymmetry,C4_C3_beta_asymmetry,C4_C3_gamma_asymmetry,Cz_N2_amp,FCz_N2_amp,Cz_P2_amp,FCz_P2_amp,temporal_feature_1,temporal_feature_2,temporal_feature_3,temporal_feature_4,temporal_feature_5,temporal_feature_6,temporal_feature_7,temporal_feature_8,temporal_feature_9,temporal_feature_10,temporal_feature_11,temporal_feature_12,temporal_feature_13,temporal_feature_14,temporal_feature_15,temporal_feature_16,temporal_feature_17,temporal_feature_18,temporal_feature_19,temporal_feature_20,temporal_feature_21,label,participant
-9.970135059609824,-9.965084661241162,-9.972202835509565,-9.95929252599238,-9.991840494662643,-9.95750279541255,-9.941429478591694,-9.975319563751292,-9.969225482901454,-9.989513636514664,-9.98460262644368,-9.988305743568622,-9.982943053578692,-9.871970634044247,-9.86068840476822,-9.988716758634904,-9.989046403502028,-9.97409370962209,-9.837332060039882,-9.768802042544262,-9.971823265492873,-9.985021453262574,-9.972597635245178,-9.963646237818846,-9.99472558729881,-9.935844938864008,-9.91741390675623,-9.971368235716245,-9.961607646036628,-9.993698540234714,0.0020677758997393,-0.0325479686702649,-0.0013005837316431,0.0178167683387417,-0.02028815361321,0.0156978143454313,-0.0016595728649875,0.011282229276027,-0.0430895011104013,-0.0146230490128118,0.06853001749562,-0.0614606960918795,0.000774369752305,-0.0310793494799632,-0.0069881008245893,0.0355232968522365,-0.0320908941980864,0.0276879073186435,-1.561263112322833e-06,3.764198517575036e-06,3.1842247000333123e-06,4.875043283756264e-06,8.682238806444328e-06,6.205597031878366e-06,1.8961619698943469e-06,-4.360756974565408e-07,-2.0054739149401385e-07,6.696397363680884e-07,9.458607159978916e-07,1.6991184375554446e-06,8.083882170551956e-06,6.534728288644121e-11,0.0525,8.936661239658369e-06,7.986091166788669e-11,0.0455,1.0851780642906798e-05,1.1773905405506046e-10,0.1155,1.2747942612801144e-05,1.6222371542622186e-10,0.12,8.05908011410307e-06,6.494054498546557e-11,0.046,1.0382750800142287e-05,1.0779352143348787e-10,0.0355,1,vp01
-9.974292084433667,-9.98617272794531,-9.97497347762335,-9.962503013149224,-9.99045961573645,-9.97794172066613,-9.984284753588064,-9.980735775756342,-9.96710527614266,-9.989590089607212,-9.99019876996372,-9.991449881095772,-9.988544354989637,-9.893285637744212,-9.811617121966911,-9.985899480005672,-9.98854353879958,-9.98042150435972,-9.76604384295322,-9.702870795626657,-9.976659441226635,-9.988913476315682,-9.976964596565391,-9.96181034710021,-9.994230528287318,-9.982994027153325,-9.973233377801584,-9.9707966835197,-9.948687680184824,-9.994254333386356,0.0006813931896818,-0.0279566025872259,-0.0078143674212807,0.0027940550902112,-0.0224848134645512,-0.0049056795578863,-0.0016544149740838,0.0816685157773005,-0.0359466068976779,-0.0054779756459524,0.0631730473265648,-0.0894927104735732,0.0003051553387578,-0.0324201811871081,-0.0091109311831267,-0.0121973436336233,-0.0455666532015293,-0.0126141547191451,-2.422776052088178e-06,3.0607629428201456e-06,-1.3609326439226314e-06,4.2179239589198335e-06,-2.405713648372613e-07,3.4376731381912e-06,5.227150086925556e-06,5.300579500930095e-07,4.283527337889764e-07,8.103068162739993e-07,3.4786417809524754e-06,2.7883455149441933e-06,7.239063322688353e-06,5.230097144104051e-11,0.0505,6.957064952990919e-06,4.826594475611888e-11,0.054,1.065707153341325e-05,1.1350767186356627e-10,0.1355,1.5884221620338806e-05,2.5230848714565125e-10,0.137,6.787169703097917e-06,4.605700921590135e-11,0.0465,7.836336383867405e-06,6.132076863329677e-11,0.0485,1,vp01
-9.9775703391197,-9.979392186643322,-9.97531603252798,-9.963909569035412,-9.98670585356261,-9.984982232005732,-9.986893205018104,-9.984730711371649,-9.96402112832076,-9.986518328437528,-9.99145255697943,-9.99208584909396,-9.982193556549918,-9.875815937018633,-9.856916333389735,-9.989709654770826,-9.986909423560393,-9.97374273301945,-9.773102122480848,-9.676355713040335,-9.975048262766451,-9.986190524542248,-9.974059380626842,-9.967709870932906,-9.993469194816486,-9.988486062348652,-9.991388828961458,-9.983026714249434,-9.95414368256546,-9.99424484311079,-0.0022543065917179,-0.0227962845271978,-0.0060537641982385,-0.0002515206340838,-0.0224972001167689,-0.0079075100732648,-0.0092590004295125,0.0188996036288955,-0.0453739575518223,-0.0159669217513762,0.0967464094405112,-0.0889040586806402,-0.0009888821396106,-0.0257593238835802,-0.0065932009503058,-0.0054593480992188,-0.0401011605453316,-0.0146216573953754,4.440921784673281e-06,1.0144495740566048e-05,5.141501722861669e-06,9.119090923668007e-06,5.463973698684634e-06,7.402963006505218e-06,5.52657082890796e-06,4.76824980677741e-07,7.242710619447989e-07,5.050509584415983e-07,2.9994269347559804e-06,4.053406651736087e-06,7.0346155524725606e-06,4.948580377950953e-11,0.063,6.052312534149616e-06,3.661554854432128e-11,0.066,9.975849898689192e-06,9.951425584504347e-11,0.1225,1.5502420727597152e-05,2.4031594758576477e-10,0.137,7.448673561246424e-06,5.543071520469056e-11,0.0445,6.0206795521766125e-06,3.624841032933266e-11,0.0635,1,vp01
-9.9777818148972,-9.978749606366067,-9.98180102604228,-9.955190776090586,-9.985902714788038,-9.984259060678236,-9.98402692189631,-9.98471726867289,-9.969400794586155,-9.98425813521636,-9.990360912194433,-9.98947862605086,-9.992774723729136,-9.888401534528676,-9.831588341126285,-9.990620003708436,-9.991269333829589,-9.977277469646694,-9.793902520701522,-9.67385807662458,-9.97888360221056,-9.981010643507409,-9.98579266879115,-9.950701173736478,-9.99395652570277,-9.988297334146154,-9.986000608591375,-9.980130855305168,-9.96567216855508,-9.993036069273805,0.0040192111450814,-0.0307119386974523,-0.0067837984557215,0.0004582079946544,-0.0148573406302059,-0.0048382075269142,0.0024138115347049,0.0568131934023945,-0.0359310879051246,-0.0133425340617421,0.1200444440769405,-0.0804224073907065,0.0069090665805902,-0.043255351966291,-0.0081946688584597,-0.0081664788409856,-0.0273639007187238,-0.0096826602227135,2.1912938861211364e-06,4.498746872411022e-07,8.401656040106282e-07,-5.793798734639201e-07,-2.3303799742467485e-06,-1.090155340890853e-06,4.784456554225519e-06,-8.55329583034904e-08,-5.069155240488306e-07,1.314436863947586e-06,2.606622292028716e-06,3.585741535286205e-06,7.347630038661274e-06,5.39872554777878e-11,0.052,6.354953170453098e-06,4.0341271584853396e-11,0.058,1.0420588735003182e-05,1.0857795556293575e-10,0.127,1.52050452892287e-05,2.3118302323270254e-10,0.13,7.124544892714128e-06,5.0658921885259264e-11,0.0495,6.2136027159248015e-06,3.847650419060859e-11,0.056,0,vp01
-9.976785650258966,-9.98257480617771,-9.968496203177438,-9.961298059909318,-9.987850550319065,-9.982954655233035,-9.989204959875018,-9.978505607595377,-9.963549103105027,-9.9862109130631,-9.992818001637549,-9.990299260761727,-9.983723715933255,-9.904562653779369,-9.879799242859638,-9.991272321348484,-9.988854148534276,-9.978771099472596,-9.822659577775289,-9.692189095105118,-9.974531977623863,-9.983069470308564,-9.96927768101693,-9.963274553098556,-9.992970123627844,-9.985577362906902,-9.986773076569463,-9.967568848849767,-9.960456192923251,-9.992050338948268,-0.0082894470815286,-0.0265524904097471,-0.0100663589150897,-0.0044490476376601,-0.0226618099580697,-0.0102350014337613,-0.0090942857042932,0.0247634109197285,-0.0336292343466499,-0.0125012218758886,0.1304704826701694,-0.0669962136531214,-0.0052542966069335,-0.029695570529288,-0.0085166829356388,-0.0180085140571346,-0.0315941460250162,-0.0150643328660038,-2.4707232063904174e-06,8.265157309846869e-06,7.671700586810564e-07,8.241636083535969e-06,4.762674544442637e-06,7.3480989464948834e-06,4.923815876189557e-06,1.8707227168717305e-07,-1.0848876374405036e-07,2.253017555410625e-07,2.0676299667040385e-06,4.435695653631736e-06,7.368406406824435e-06,5.4259349535848765e-11,0.0635,6.627747827790251e-06,4.387252102992893e-11,0.0635,9.560299673373103e-06,9.136434138361052e-11,0.1175,1.448411554956266e-05,2.0977425224015632e-10,0.141,7.393304070095454e-06,5.465810469824078e-11,0.0525,6.971073145416742e-06,4.8404608560582156e-11,0.047,1,vp01
-9.980248421248206,-9.976068522405315,-9.96576607962846,-9.958853121333906,-9.99083748055036,-9.985560098825664,-9.97668732273086,-9.96897419994212,-9.958578312936185,-9.987758990790825,-9.988437446480912,-9.989351813466682,-9.983345146254791,-9.917046428920257,-9.870289424985303,-9.990057525525607,-9.983061494955384,-9.978079845023244,-9.88319436228856,-9.853695420290292,-9.983886155687696,-9.98179121293438,-9.970128296324912,-9.957504522374933,-9.993475850550634,-9.987865761848536,-9.975523503074628,-9.95322672628893,-9.946458366391006,-9.99193374633006,-0.014482341619745,-0.0319843592164534,-0.0108104404021478,-0.0165858988835445,-0.0291806778546384,-0.0118127687627804,-0.0050923002261189,0.0467570039349514,-0.0272684697925562,-0.0119776805023619,0.029498941998268,-0.0402492795765834,-0.0137578593627836,-0.0359713281757034,-0.0129688629870319,-0.0346390355596071,-0.0454753799390523,-0.0217640381932078,2.8301559700903413e-06,-2.4786183155463663e-08,8.470588140292238e-07,-1.5099198309206588e-06,-4.867809843688873e-07,-3.157977797396698e-06,1.401388713763628e-06,-8.401569388693627e-08,3.185790266216491e-07,4.455568696842804e-07,1.1878849039031354e-06,5.652851468570352e-07,7.850465159886535e-06,6.16186161851297e-11,0.0515,7.641265858829624e-06,5.83735442139858e-11,0.049,9.564594469728484e-06,9.147948256946555e-11,0.125,1.0965983183492112e-05,1.2023910360786644e-10,0.1285,6.743354826504752e-06,4.543585765975404e-11,0.055,8.200755602953414e-06,6.720583075333363e-11,0.045,0,vp01
-9.979496978978723,-9.984043736077458,-9.98366917330608,-9.933058997061517,-9.99140655545088,-9.986107003082587,-9.98954191111147,-9.988371864822035,-9.93988131045117,-9.99002337932574,-9.989312043704958,-9.991124426911211,-9.986434040787968,-9.92200572992931,-9.91909033447942,-9.98932372735492,-9.988871166061806,-9.981953681765496,-9.844497921208792,-9.779281867037287,-9.982099381100973,-9.986589650038036,-9.98470255707798,-9.95304430682143,-9.994625998542912,-9.990247076789908,-9.992251467178924,-9.983202562562022,-9.959746395261108,-9.99515070743814,0.0041721943273564,-0.0583475583893626,-0.0164610008579391,0.0022648617394498,-0.0501420688745692,-0.0165479477035024,-0.0028780029169901,0.0029153954498912,-0.0253271864409043,-0.0073700455894254,0.0652160541715041,-0.056281721882275,0.0026031759770059,-0.0415816917214826,-0.0106903850350139,-0.0070445142278856,-0.0354043121770324,-0.013477359790345,3.380387671401267e-07,-3.236198801992439e-07,-2.4248743684410374e-06,-2.966761636015686e-06,-3.4561524413008346e-06,-4.93660038016408e-06,4.320005268828975e-06,-2.167371658552979e-07,1.07092087795765e-07,4.7402950001132526e-07,2.5253142716740773e-06,3.564027369738548e-06,7.274738365080067e-06,5.289740631933766e-11,0.0605,6.61062316253272e-06,4.3696107904376665e-11,0.0645,8.331280453201187e-06,6.931975050963971e-11,0.1205,1.2651285722030162e-05,1.5998267206471736e-10,0.125,6.331845813980249e-06,4.0002982766086235e-11,0.05,5.80671823580073e-06,3.3693924899994335e-11,0.053,0,vp01
-9.978242624122496,-9.983370576340164,-9.988592081957576,-9.955095353055846,-9.990091929227306,-9.981191549668036,-9.988198510272811,-9.992546301880768,-9.964990327498192,-9.992028467777851,-9.992787571980903,-9.995556186605915,-9.992282777947093,-9.917680345090776,-9.867674177578383,-9.989152304952416,-9.990435084869658,-9.99118572329057,-9.830463732925011,-9.77579631140649,-9.975179168682246,-9.991913129632335,-9.991669338448526,-9.958131831713931,-9.993288619944458,-9.982245783899806,-9.99205702817783,-9.991008929107062,-9.960073645563607,-9.996302816477025,0.0103494578350815,-0.0349965761714603,-0.0062975669394624,0.0113547522127319,-0.0270381402796591,-0.0041446601749779,-0.0005047940338123,0.0500061675123912,-0.027732550368972,0.0020334183381542,0.0546674215185216,-0.0598715253447519,0.0164901697662802,-0.035156788230525,-0.0060203722221867,0.008763145207256,-0.0362291709134172,-0.0080184359963304,-2.548449520111339e-06,1.8041516213750488e-06,-4.289991448465239e-06,1.06809718210852e-06,-3.5463020356285087e-06,9.93362018388782e-08,3.969603248570075e-06,3.904949350675421e-07,6.285171649787701e-07,5.5618580623832144e-08,2.256124433966532e-06,2.376062529149488e-06,6.483810722232201e-06,4.1956799990408535e-11,0.0575,6.047921347218639e-06,3.6448380642126e-11,0.0565,8.610912415952128e-06,7.412837726509181e-11,0.1235,1.2580515664522204e-05,1.5824834929702274e-10,0.134,6.799645822985773e-06,4.604018259386967e-11,0.0515,6.2293154709096586e-06,3.868225292569841e-11,0.045,1,vp01
-9.965767991835024,-9.974462017178274,-9.974297097287588,-9.945324284449288,-9.98967283138522,-9.963608492810089,-9.968609444473394,-9.982352623216151,-9.957622499884224,-9.990244269430631,-9.988804844281814,-9.989870556880769,-9.984880419356422,-9.908690490779067,-9.870668600688449,-9.984560040890004,-9.991783504776867,-9.978460371041187,-9.811792962195486,-9.765788657029814,-9.976662553747424,-9.976756644415683,-9.975337940090393,-9.945625088399323,-9.993436319361306,-9.954484033874316,-9.947160730040144,-9.97162725895909,-9.94922841037832,-9.994791554613736,0.0085291054525633,-0.0443485469359341,-0.0072028218459223,0.0187441304060627,-0.0326217695464059,0.0025332516554019,-0.0039244249253922,0.0380218900906186,-0.0302108626766912,-0.0060996698488153,0.0460043051656722,-0.0704388871532497,-0.0013246136570312,-0.0478112309619831,-0.0112506467492767,0.0171432250847729,-0.0455631442354143,0.0065294156569084,1.366916181119494e-06,1.1333715504986915e-05,4.93977145950515e-06,1.182263408834642e-05,5.45068478514194e-06,9.550517094309717e-06,3.881078253446307e-06,6.037307358726803e-07,-4.655387383204054e-07,7.078434538819898e-07,2.489878840463961e-06,2.6680391959875647e-06,8.631454673704502e-06,7.450188599604089e-11,0.0585,8.91695246120388e-06,7.951203989047266e-11,0.0595,9.449634640509636e-06,8.929544974593406e-11,0.1265,1.3330712893955942e-05,1.7767643415986702e-10,0.119,7.8042126018995e-06,6.081796528827708e-11,0.0495,1.0391634921312186e-05,1.0797021438584855e-10,0.0495,1,vp01
-9.977148718852352,-9.985812008988775,-9.98218060946256,-9.948775667936316,-9.991931289764556,-9.984781274926457,-9.98853091424895,-9.985730488318351,-9.9658353117011,-9.988501775026135,-9.990453068174546,-9.993604145470014,-9.989752393707253,-9.914148861175626,-9.89766033991878,-9.992282495224304,-9.99304110974184,-9.97563934912224,-9.818560663388809,-9.77387564371318,-9.98173783315478,-9.990678710628062,-9.98197739906809,-9.94930114529693,-9.994253967873066,-9.987548538334432,-9.990571456445103,-9.978122687714055,-9.955425095095404,-9.994379001260045,0.0050318906102084,-0.0431556218282409,-0.0110880627953555,0.0009492133918964,-0.0226664633250361,-0.0074271189486108,-0.0007006744672928,0.0164885212568446,-0.0284194182177071,-0.0166431461020621,0.0446850196756276,-0.0714044226044663,0.0002395659133096,-0.0449528225761355,-0.0141582154737367,-0.0094258506203743,-0.0389539061646395,-0.0152064360302492,-3.080870397172119e-07,2.7586515342529923e-06,-5.520591214217808e-07,1.2698193388133288e-06,-2.2674367626853825e-06,2.949532401214263e-07,4.871098962090631e-06,-1.6415792263029933e-07,1.2244593673549212e-07,1.2004570638861343e-06,2.840667026929718e-06,3.319126809461761e-06,6.773972753124303e-06,4.588610363583028e-11,0.052,6.069313305437954e-06,3.681831387912323e-11,0.06,8.450635047536228e-06,7.140393533777503e-11,0.1295,1.332173400962686e-05,1.7735726228779126e-10,0.1345,6.362347807951705e-06,4.043061612797318e-11,0.052,6.2560881016681295e-06,3.912264209620222e-11,0.0575,0,vp01
