feature,importance
C4_delta_power,0.024342408829197432
Cz_N2_amp,0.021710421722617806
Cz_P2_amp,0.021596470943930437
Fz_theta_power,0.021259579242100497
C4_C3_beta_asymmetry,0.019838029885050883
C4_C3_theta_asymmetry,0.01795276049473284
FCz_gamma_power,0.017585017281026055
Pz_gamma_power,0.017379261164496052
Fz_delta_power,0.016424322633454985
C4_C3_delta_asymmetry,0.015961673286861846
temporal_feature_2,0.015376014072922602
C4_C3_gamma_asymmetry,0.015136403365471845
temporal_feature_3,0.0150908183287336
Fz_low_high_ratio,0.01503880554203223
C3_gamma_beta_ratio,0.014766702290328292
FCz_delta_alpha_ratio,0.014678688785160298
Fz_delta_alpha_ratio,0.014448872688319155
temporal_feature_1,0.014370655261554297
C3_theta_power,0.014302693669705524
Pz_low_high_ratio,0.014172449439955421
Fz_gamma_power,0.014162108866794873
C3_delta_power,0.014113465888860774
Cz_gamma_power,0.013663198779063569
temporal_feature_18,0.013628710946881268
FCz_P2_amp,0.013489804161828189
C4_theta_power,0.013454056397321775
C3_gamma_power,0.013442865550116267
FCz_delta_power,0.013303072423680432
C4_gamma_power,0.013298738996929547
Pz_delta_alpha_ratio,0.013197068650904172
C4_low_high_ratio,0.013189978652435912
C3_beta_power,0.013148536734803751
C4_C3_alpha_asymmetry,0.012912772980351423
FCz_theta_power,0.01280684633996139
C3_delta_alpha_ratio,0.01279254738470111
Cz_gamma_beta_ratio,0.01264395667381754
temporal_feature_17,0.012580294704711741
FCz_alpha_power,0.012469869596010475
Pz_alpha_power,0.012360736983077223
temporal_feature_11,0.012301405667567603
C4_delta_alpha_ratio,0.012058450489076718
Pz_gamma_beta_ratio,0.011980263450397934
Cz_delta_alpha_ratio,0.011952454465058977
Cz_delta_power,0.011912348409713664
Cz_beta_power,0.01162497089434827
Fz_alpha_power,0.011541091814392506
Pz_beta_power,0.011539502956721251
temporal_feature_15,0.011493409522260417
C3_low_high_ratio,0.011419664416336132
temporal_feature_14,0.011289907133268823
temporal_feature_13,0.011210634099830558
Cz_low_high_ratio,0.011062363828674822
Fz_beta_power,0.011032447656492732
Cz_theta_power,0.011023144577248166
temporal_feature_8,0.01092528643690445
temporal_feature_12,0.010905543328018696
temporal_feature_9,0.01076284690319641
FCz_beta_power,0.01072532523366044
C4_alpha_power,0.01049345220514672
temporal_feature_16,0.01047952101980179
C4_gamma_beta_ratio,0.010334288609175655
Pz_delta_power,0.010257504916082962
temporal_feature_4,0.010228149029321338
FCz_gamma_beta_ratio,0.010048728110261708
temporal_feature_10,0.010001999805327937
FCz_N2_amp,0.009925633381814104
temporal_feature_20,0.009863745723807773
C3_alpha_power,0.00969942083387197
Pz_theta_power,0.009528930575727576
temporal_feature_21,0.009244717889177283
temporal_feature_5,0.00919736305394561
temporal_feature_7,0.00914556999516558
Cz_alpha_power,0.009118860984958482
temporal_feature_19,0.009094991577111201
C4_beta_power,0.009069704460261611
Fz_gamma_beta_ratio,0.00868555579651541
FCz_low_high_ratio,0.00857146071407767
temporal_feature_6,0.008158660395375494
